Filename,Width Min-Degree,Time Min-Degree,Width Min-Fill-in,Time Min-Fill-in,Width MCS,Time MCS
DSJC125.9.dgf,120,0.002817,119,0.014702,122,0.002159
MCSTestGraph.dgf,3,0.000009,3,0.000015,3,0.000012
MCSTestGraph2.dgf,3,0.000007,3,0.000013,3,0.000010
alarm.dgf,4,0.000025,4,0.000049,4,0.000038
barley.dgf,8,0.000047,7,0.000116,8,0.000064
celar02.dgf,10,0.000097,10,0.000227,14,0.000146
celar07.dgf,18,0.000347,16,0.001146,19,0.000579
david.dgf,13,0.000104,13,0.000524,16,0.000353
eil51.tsp.dgf,11,0.000058,10,0.000189,15,0.000088
fpsol2.i.1.dgf,66,0.004712,66,0.014336,71,0.004793
fpsol2.i.2.dgf,31,0.003602,31,0.014991,44,0.004314
fpsol2.i.3.dgf,31,0.003436,31,0.015654,44,0.004976
graph09.dgf,120,0.004855,125,0.050360,128,0.011917
huck.dgf,10,0.000192,10,0.000187,10,0.000208
inithx.i.1.dgf,56,0.011677,56,0.044941,56,0.013419
inithx.i.2.dgf,35,0.009123,31,0.027386,43,0.008681
inithx.i.3.dgf,35,0.007556,31,0.024745,43,0.006503
jean.dgf,9,0.000074,9,0.000167,10,0.000167
mainuk.dgf,7,0.000052,7,0.000123,8,0.000080
mildew.dgf,5,0.000024,4,0.000054,7,0.000038
miles1500.dgf,83,0.000844,77,0.002751,88,0.001000
miles250.dgf,9,0.000101,9,0.000244,13,0.000154
miles500.dgf,29,0.000368,23,0.001224,27,0.000428
mulsol.i.5.dgf,31,0.001033,32,0.003780,44,0.001261
munin1.dgf,11,0.000218,11,0.000668,24,0.000424
munin2.dgf,8,0.002758,8,0.008664,9,0.003723
munin3.dgf,7,0.002659,7,0.008302,47,0.009243
munin4.dgf,8,0.002911,8,0.008861,19,0.005710
myciel3.dgf,5,0.000009,5,0.000020,5,0.000012
myciel4.dgf,11,0.000023,11,0.000165,11,0.000034
myciel5.dgf,20,0.000069,21,0.000410,23,0.000092
oesoca+.dgf,11,0.000068,11,0.000181,12,0.000083
oesoca.dgf,3,0.000022,3,0.000045,3,0.000041
oesoca42.dgf,3,0.000023,3,0.000048,3,0.000036
pathfinder.dgf,7,0.000078,6,0.000454,7,0.000151
queen5_5.dgf,18,0.000041,18,0.000331,20,0.000161
queen6_6.dgf,28,0.000096,26,0.000463,30,0.000096
queen7_7.dgf,38,0.000145,37,0.001111,42,0.000175
water.dgf,11,0.000068,10,0.000142,11,0.000049
