Filename,Width Min-Degree,Time Min-Degree,Width Min-Fill-in,Time Min-Fill-in,Width MCS,Time MCS
DSJC125.9.dgf,120,0.003209,119,0.009371,121,0.001723
MCSTestGraph.dgf,3,0.000008,3,0.000013,3,0.000010
MCSTestGraph2.dgf,3,0.000010,3,0.000016,3,0.000013
alarm.dgf,4,0.000032,4,0.000078,4,0.000051
barley.dgf,8,0.000044,7,0.000109,8,0.000061
celar02.dgf,10,0.000092,10,0.000257,10,0.000134
celar07.dgf,18,0.000351,16,0.001003,21,0.000491
david.dgf,13,0.000129,13,0.000572,14,0.000179
eil51.tsp.dgf,11,0.000075,10,0.000241,11,0.000106
fpsol2.i.1.dgf,66,0.005400,66,0.016682,66,0.005565
fpsol2.i.2.dgf,31,0.004018,31,0.012953,44,0.003871
fpsol2.i.3.dgf,31,0.004310,31,0.012122,44,0.003918
graph09.dgf,120,0.005241,125,0.051050,139,0.012870
huck.dgf,10,0.000118,10,0.000334,10,0.000187
inithx.i.1.dgf,56,0.017568,56,0.048909,56,0.015764
inithx.i.2.dgf,35,0.008445,31,0.031400,47,0.010462
inithx.i.3.dgf,35,0.008189,31,0.030594,48,0.007491
jean.dgf,9,0.000133,9,0.000215,11,0.000138
mainuk.dgf,7,0.000079,7,0.000119,9,0.000071
mildew.dgf,5,0.000028,4,0.000060,5,0.000043
miles1500.dgf,83,0.000903,77,0.002592,83,0.000947
miles250.dgf,9,0.000124,9,0.000263,10,0.000194
miles500.dgf,29,0.000298,23,0.001148,37,0.000399
mulsol.i.5.dgf,31,0.001036,32,0.003777,41,0.001283
munin1.dgf,11,0.000201,11,0.000610,27,0.000442
munin2.dgf,8,0.002258,8,0.006860,25,0.004629
munin3.dgf,7,0.002667,7,0.007017,43,0.009641
munin4.dgf,8,0.002645,8,0.010554,18,0.009341
myciel3.dgf,5,0.000014,5,0.000031,7,0.000022
myciel4.dgf,11,0.000045,11,0.000117,13,0.000060
myciel5.dgf,20,0.000114,21,0.000565,24,0.000176
oesoca+.dgf,11,0.000089,11,0.000235,14,0.000129
oesoca.dgf,3,0.000033,3,0.000067,3,0.000104
oesoca42.dgf,3,0.000036,3,0.000075,3,0.000063
pathfinder.dgf,7,0.000129,6,0.000753,8,0.000142
queen5_5.dgf,18,0.000065,18,0.000286,20,0.000055
queen6_6.dgf,28,0.000081,26,0.000444,30,0.000098
queen7_7.dgf,38,0.000132,37,0.001076,42,0.000156
water.dgf,11,0.000035,10,0.000101,10,0.000060
